SrcFile,Image,Page,Notes
DSC_1322,,,
DSC_1323,,,
DSC_1324,,,
DSC_1325,,,
DSC_1326,,,
DSC_1327,,,
DSC_1328,inside-front-cover,,
DSC_1329,2r-ILIAD-Alpha,,
DSC_1330,,,
DSC_1331,3r,,
DSC_1332,,,
DSC_1333,4r,,
DSC_1334,,,
DSC_1335,5r,,
DSC_1336,,,
DSC_1337,,,
DSC_1338,,,
DSC_1339,,,
DSC_1340,,,
DSC_1341,8r,,
DSC_1342,,,
DSC_1343,,,
DSC_1344,,,
DSC_1345,,,
DSC_1346,,,
DSC_1347,11r,,
DSC_1408,,,
DSC_1409,11r,,
DSC_1410,11r,,
DSC_1411,,,
DSC_1412,,,
DSC_1413,,,
DSC_1414,,,
DSC_1415,,,
DSC_1416,,,
DSC_1417,,,
DSC_1418,,,
DSC_1419,,,
DSC_1420,,,
DSC_1421,,,
DSC_1422,,,
DSC_1423,,,
DSC_1424,,,
DSC_1425,,,
DSC_1426,,,
DSC_1427,,,
DSC_1428,16r,,
DSC_1429,,,
DSC_1430,,,
DSC_1431,,,
DSC_1432,,,
DSC_1433,,,
DSC_1434,,,
DSC_1435,,,
DSC_1436,,,
DSC_1437,,,
DSC_1438,20r,,
DSC_1439,,,
DSC_1440,,,
DSC_1441,,,UPSIDE-DOWN
DSC_1442,22r,,
DSC_1443,,,
DSC_1444,,,
DSC_1445,,,
DSC_1446,,,
DSC_1447,urn:cite:hmt:vgf64img.VGF64_1447,urn:cite:vgf64.24r,
DSC_1448,,,
DSC_1449,,,
DSC_1450,,,
DSC_1451,26r,,
DSC_1452,,,
DSC_1453,,,
DSC_1454,,,
DSC_1455,,,
DSC_1456,,,
DSC_1457,,,
DSC_1458,,,
DSC_1459,30r,,
DSC_1460,,,
DSC_1461,,,
DSC_1462,,,
DSC_1463,,,
DSC_1464,,,
DSC_1465,,,
DSC_1466,,,
DSC_1467,,,
DSC_1468,,,
DSC_1469,,,
DSC_1470,,,
DSC_1471,,,
DSC_1472,,,
DSC_1473,,,
DSC_1474,,,
DSC_1475,,,
DSC_1476,,,
DSC_1477,,,
DSC_1478,,,
DSC_1479,40r,,
DSC_1480,,,
DSC_1481,41r,,
DSC_1482,,,
DSC_1483,,,
DSC_1484,,,
DSC_1485,,,
DSC_1486,,,
DSC_1487,,,
DSC_1488,,,
DSC_1489,,,
DSC_1490,,,
DSC_1491,,,
DSC_1492,,,
DSC_1493,,,
DSC_1494,,,
DSC_1495,,,
DSC_1496,,,
DSC_1497,,,
DSC_1498,,,
DSC_1499,,,
DSC_1500,50r,,
DSC_1501,,,
DSC_1502,,,
DSC_1503,,,
DSC_1504,,,
DSC_1505,,,
DSC_1506,,,
DSC_1507,,,
DSC_1508,,,
DSC_1509,,,
DSC_1510,,,
DSC_1511,,,
DSC_1512,,,
DSC_1513,,,
DSC_1514,,,
DSC_1515,,,
DSC_1516,,,
DSC_1517,,,
DSC_1518,,,
DSC_1519,,,
DSC_1520,60r,,
DSC_1521,,,
DSC_1522,,,
DSC_1523,,,
DSC_1524,,,
DSC_1525,,,
DSC_1526,,,
DSC_1527,,,
DSC_1528,,,
DSC_1529,,,
DSC_1530,,,
DSC_1531,,,
DSC_1532,,,
DSC_1533,,,
DSC_1534,,,
DSC_1535,,,
DSC_1536,,,
DSC_1537,,,
DSC_1538,,,
DSC_1539,,,
DSC_1540,70r,,
DSC_1541,,,
DSC_1542,,,
DSC_1543,,,
DSC_1544,,,
DSC_1545,,,
DSC_1546,,,
DSC_1547,,,
DSC_1548,,,
DSC_1549,,,
DSC_1550,,,
DSC_1551,,,
DSC_1552,,,
DSC_1553,,,
DSC_1554,,,
DSC_1555,,,
DSC_1556,,,
DSC_1557,,,
DSC_1558,,,
DSC_1559,,,
DSC_1560,80r,,
DSC_1561,,,
DSC_1562,,,
DSC_1563,,,
DSC_1564,,,
DSC_1565,,,
DSC_1566,,,
DSC_1567,,,
DSC_1568,,,
DSC_1569,,,
DSC_1570,85r,,
DSC_1571,,,
DSC_1572,,,
DSC_1573,,,
DSC_1574,,,
DSC_1575,,,
DSC_1576,,,
DSC_1577,,,
DSC_1578,,,
DSC_1579,,,
DSC_1580,90r,,
DSC_1581,,,
DSC_1582,91r,,
DSC_1583,,,
DSC_1584,92r,,
DSC_1585,,,
DSC_1586,204r,,
DSC_1587,,,
DSC_1588,205r,,
DSC_1589,,,
DSC_1590,206r,,
DSC_1591,,,
DSC_1592,,,
DSC_1593,,,
DSC_1594,,,
DSC_1595,,,
DSC_1596,,,
DSC_1597,,,
DSC_1598,,,
DSC_1599,,,
DSC_1600,211r,,
DSC_1601,,,
DSC_1602,,,
DSC_1603,,,
DSC_1604,,,
DSC_1605,,,
DSC_1606,,,
DSC_1607,,,
DSC_1608,,,
DSC_1609,,,
DSC_1610,,,
DSC_1611,,,
DSC_1612,,,
DSC_1613,,,
DSC_1614,,,
DSC_1615,,,
DSC_1616,,,
DSC_1617,,,
DSC_1618,220r,,
DSC_1619,,,
DSC_1620,,,
